snapshot_date,principle,total_value
2015-02-15,21337.13,49877.23
2015-02-16,21337.13,49868.13
2015-02-17,21337.13,51435.41
2015-02-18,21337.13,51435.41
2015-02-19,21337.13,51435.41
2015-02-20,21337.13,51435.41
2015-02-21,21337.13,51435.41
2015-02-22,21337.13,51435.41
2015-02-23,21337.13,51435.41
2015-02-24,21337.13,51435.41
2015-02-25,21337.13,51487.62
2015-02-26,21337.13,51420.05
2015-02-27,21337.13,51139.39
2015-02-28,21337.13,51139.39
2015-03-01,21337.13,51139.39
2015-03-02,21337.13,51524.03
2015-03-03,21337.13,49255.33
2015-03-04,21337.13,50037.4
2015-03-05,21337.13,48597.57
2015-03-06,21337.13,47959.31
2015-03-07,21337.13,47959.31
2015-03-08,21337.13,47959.31
2015-03-09,21337.13,48847.36
2015-03-10,22759.6,50360.02
2015-03-11,22759.6,51036.98
2015-03-12,22759.6,50995.7
2015-03-13,22759.6,51477.92
2015-03-14,22759.6,51477.92
2015-03-15,22759.6,51477.92
2015-03-16,22759.6,52709.36
2015-03-17,22759.6,52681.91
2015-03-18,22759.6,53269.67
2015-03-19,22759.6,53699.26
2015-03-20,22759.6,53149.05
2015-03-21,22759.6,53149.05
2015-03-22,22759.6,53149.05
2015-03-23,22759.6,54169.31
2015-03-24,22759.6,53587.66
2015-03-25,22759.6,53158.35
2015-03-26,22759.6,52817.1
2015-03-27,22759.6,52817.1
2015-03-28,22759.6,52817.1
2015-03-29,22759.6,52817.1
2015-03-30,22759.6,53920.66
2015-03-31,22759.6,55324.78
2015-04-01,22759.6,56613.4
2015-04-02,22759.6,56866.75
2015-04-03,22759.6,56521.65
2015-04-04,22759.6,56521.65
2015-04-05,22759.6,56521.65
2015-04-06,22759.6,56521.65
2015-04-07,22759.6,56838.3
2015-04-08,22759.6,56871.73
2015-04-09,22759.6,55522.37
2015-04-10,22759.6,56703.87
2015-04-11,22759.6,56703.87
2015-04-12,22759.6,56703.87
2015-04-13,22759.6,56428.2
2015-04-14,22759.6,55845.41
2015-04-15,22759.6,54202.45
2015-04-16,22759.6,56401.03
2015-04-17,22759.6,58434.6
2015-04-18,22759.6,58434.6
2015-04-19,22759.6,58434.6
2015-04-20,22759.6,57077.84
2015-04-21,22759.6,60415.68
2015-04-22,22759.6,61318.1
2015-04-23,22759.6,61007
2015-04-24,22759.6,60267.88
2015-04-25,22759.6,60267.88
2015-04-26,22759.6,60267.88
2015-04-27,22759.6,61210.7
2015-04-28,22759.6,63980.97
2015-04-29,22759.6,64726.63
2015-04-30,22759.6,64880.83
2015-05-01,22759.6,64880.83
2015-05-02,22759.6,64880.83
2015-05-03,22759.6,64880.83
2015-05-04,22759.6,64154.66
2015-05-05,22759.6,60911.98
2015-05-06,22759.6,60456.5
2015-05-07,22759.6,61504.02
2015-05-08,22759.6,62830.9
2015-05-09,22759.6,62830.9
2015-05-10,22759.6,62830.9
2015-05-11,22759.6,64217.81
2015-05-12,22759.6,63938.3
2015-05-13,22759.6,64244.56
2015-05-14,22759.6,63094.06
2015-05-15,22759.6,62032.75
2015-05-16,22759.6,62032.75
2015-05-17,22759.6,62032.75
2015-05-18,22759.6,61500.46
2015-05-19,22759.6,65049.11
2015-05-20,22048.36,65755.79
2015-05-21,21692.75,70270.55
2015-05-22,21337.13,70824.89
2015-05-23,21337.13,70824.89
2015-05-24,21337.13,70824.89
2015-05-25,20625.89,72930.85
2015-05-26,19914.65,74273.06
2015-05-27,17780.94,69902.79
2015-05-28,17780.94,65693.26
2015-05-29,17780.94,67616.45
2015-05-30,17780.94,67616.45
2015-05-31,17780.94,67616.45
2015-06-01,17354.2,69742.06
2015-06-02,17069.7,69229.83
2015-06-03,16358.46,68114.89
2015-06-04,16358.46,66491.28
2015-06-05,16358.46,67478.48
2015-06-06,16358.46,67478.48
2015-06-07,16358.46,67478.48
2015-06-08,16358.46,67709.53
2015-06-09,15647.23,65835.03
2015-06-10,15647.23,66980.88
2015-06-11,14935.99,65794.96
2015-06-12,14935.99,65902.78
2015-06-13,14935.99,65902.78
2015-06-14,14935.99,65902.78
2015-06-15,14367,62709.04
2015-06-16,14367,60882.3
2015-06-17,14367,62104.2
2015-06-18,14367,59970.07
2015-06-19,14367,56686.57
2015-06-20,14367,56686.57
2015-06-21,14367,56686.57
2015-06-22,14367,56686.57
2015-06-23,14367,61837.63
2015-06-24,14367,63185.17
2015-06-25,14367,62254.45
2015-06-26,14367,58652.88
2015-06-27,14367,58652.88
2015-06-28,14367,58652.88
2015-06-29,14367,59368.96
2015-06-30,14367,64721.02
2015-07-01,14367,61748.9
2015-07-02,14367,60631.41
2015-07-03,13513.51,54617.75
2015-07-04,13513.51,54617.75
2015-07-05,13513.51,54617.75
2015-07-06,13513.51,53925.29
2015-07-07,13513.51,50515.9
2015-07-08,13513.51,46581.48
2015-07-09,13513.51,49806.23
2015-07-10,13513.51,53343.07
2015-07-11,13513.51,53343.07
2015-07-12,13513.51,53343.07
2015-07-13,13513.51,55723.3
2015-07-14,13513.51,53547.62
2015-07-15,13513.51,52297.55
2015-07-16,13513.51,52473.8
2015-07-17,13513.51,53693.28
2015-07-18,13513.51,53693.28
2015-07-19,13513.51,53693.28
2015-07-20,13513.51,52971.66
2015-07-21,13513.51,52399.68
2015-07-22,13513.51,51628.56
2015-07-23,13513.51,52224.29
2015-07-24,13513.51,51425.57
2015-07-25,13513.51,51425.57
2015-07-26,13513.51,51425.57
2015-07-27,13513.51,47968.82
2015-07-28,13513.51,49650.04
2015-07-29,13513.51,50216.18
2015-07-30,13513.51,49023.01
2015-07-31,13513.51,49832.83
2015-08-01,13513.51,49832.83
2015-08-02,13513.51,49832.83
2015-08-03,13513.51,50931.55
2015-08-04,13513.51,51210.78
2015-08-05,13513.51,50830.84
2015-08-06,13513.51,50084.46
2015-08-07,13513.51,50576.36
2015-08-08,13513.51,50576.36
2015-08-09,13513.51,50576.36
2015-08-10,13513.51,51570.1
2015-08-11,13513.51,51384.46
2015-08-12,13513.51,50335.82
2015-08-13,13513.51,50611.35
2015-08-14,13513.51,50104.52
2015-08-15,13513.51,50104.52
2015-08-16,13513.51,50104.52
2015-08-17,13513.51,49534.39
2015-08-18,13513.51,47539.66
2015-08-19,13513.51,47750.89
2015-08-20,13513.51,46351.18
2015-08-21,13513.51,44417.18
2015-08-22,13513.51,44417.18
2015-08-23,13513.51,44417.18
2015-08-24,15078.24,42912.19
2015-08-25,16358.46,43288.71
2015-08-26,16358.46,44982.88
2015-08-27,16358.46,46304.36
2015-08-28,16358.46,47383.45
2015-08-29,16358.46,47383.45
2015-08-30,16358.46,47383.45
2015-08-31,16358.46,47690.98
2015-09-01,16358.46,47411.51
2015-09-02,16358.46,47159.3
2015-09-03,16358.46,47159.3
2015-09-04,16358.46,47159.3
2015-09-05,16358.46,47159.3
2015-09-06,16358.46,47159.3
2015-09-07,16358.46,45551.2
2015-09-08,16358.46,46142.23
2015-09-09,16358.46,47000.41
2015-09-10,16358.46,45739.67
2015-09-11,16358.46,46059.02
2015-09-12,16358.46,46059.02
2015-09-13,16358.46,46059.02
2015-09-14,16358.46,43308.66
2015-09-15,16358.46,41764.88
2015-09-16,17069.7,45309.79
